Region,Soil_Type,Start_Season,Number_of_Seasons,Crop1,Crop2,Crop3,Yield_t_per_ha,Carbon_Sequestration_kg_CO2
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.48,248.04
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Wheat,2.85,238.51
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Groundnut,,2.83,241.13
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,3.07,224.91
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.43,164.66
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.76,195.27
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.82,233.97
Punjab,Alluvial,Rabi,3,Barley,Watermelon,Soybean,2.71,289.95
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Cucumber,2.71,286.64
Maharashtra,Black,Zaid,2,Watermelon,Maize,,4.03,175.91
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Maize,Mustard,3.43,206.6
Punjab,Alluvial,Rabi,2,Chickpea,Watermelon,,2.59,253.55
Maharashtra,Black,Kharif,3,Cotton,Peas,Watermelon,3.19,282.97
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Rice,3.25,251.37
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,3.23,161.45
Tamil Nadu,Red,Kharif,3,Cotton,Peas,Watermelon,2.64,279.63
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.01,255.64
Maharashtra,Black,Kharif,3,Cotton,Chickpea,Watermelon,2.99,254.38
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.96,258.1
Tamil Nadu,Red,Rabi,3,Mustard,Cucumber,Cotton,2.3,204.79
Tamil Nadu,Red,Kharif,3,Cotton,Wheat,Bottle Gourd,3.44,235.15
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,2.47,166.57
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Peas,3.24,254.76
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Okra,3.35,238.36
West Bengal,Laterite,Rabi,2,Peas,Bottle Gourd,,2.47,228.43
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Barley,3,206.4
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.72,212.27
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Soybean,2.96,273.52
West Bengal,Laterite,Rabi,2,Peas,Bottle Gourd,,3.16,256.95
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Cucumber,2.84,224.28
West Bengal,Laterite,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.46,262.74
Maharashtra,Black,Zaid,2,Bottle Gourd,Soybean,,2.58,238.23
Maharashtra,Black,Rabi,2,Chickpea,Bottle Gourd,,3.48,259.38
West Bengal,Laterite,Rabi,2,Wheat,Bottle Gourd,,3.17,199.42
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.86,186.3
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Groundnut,3.15,279.16
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.1,275.62
Rajasthan,Arid Sandy,Kharif,2,Cotton,Barley,,1.96,191.65
West Bengal,Laterite,Zaid,3,Watermelon,Soybean,Mustard,2.68,245.72
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.82,251.37
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.02,207.68
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.83,178.63
Maharashtra,Black,Zaid,2,Cucumber,Cotton,,3.23,207.06
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.89,170.64
Rajasthan,Arid Sandy,Kharif,2,Cotton,Peas,,1.65,221.31
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.78,175.45
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.38,167.09
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.64,225.58
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Maize,,3.22,193.7
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Maize,3.06,261.5
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Barley,2.63,205.07
Maharashtra,Black,Kharif,3,Cotton,Peas,Bottle Gourd,2.29,259.01
Maharashtra,Black,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.53,255.65
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Soybean,Mustard,2.62,287.38
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.62,259.79
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.02,248.81
Punjab,Alluvial,Kharif,3,Maize,Mustard,Okra,2.66,228.64
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Watermelon,Maize,2.67,255.14
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,2.79,162.84
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.12,249.59
Punjab,Alluvial,Rabi,2,Barley,Watermelon,,3.95,182.53
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.37,256.92
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,2.8,232.58
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.2,196.45
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Soybean,2.78,258.13
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.36,279.41
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.92,169.04
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.17,204.25
Rajasthan,Arid Sandy,Kharif,2,Cotton,Chickpea,,2.17,243.92
West Bengal,Laterite,Rabi,3,Barley,Watermelon,Groundnut,3.6,246.92
Tamil Nadu,Red,Kharif,3,Cotton,Wheat,Bottle Gourd,2.86,235.27
Maharashtra,Black,Rabi,2,Mustard,Cucumber,,3.38,180.74
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,3.28,229.57
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.15,252.8
Maharashtra,Black,Zaid,3,Bottle Gourd,Soybean,Mustard,2.23,279.69
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,1.98,245.93
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,3,243.22
Punjab,Alluvial,Zaid,3,Bottle Gourd,Rice,Mustard,3.11,208.67
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,3.49,198.58
Tamil Nadu,Red,Kharif,2,Cotton,Peas,,1.97,248.96
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,2.33,236.67
West Bengal,Laterite,Rabi,3,Barley,Bottle Gourd,Soybean,2.85,272.79
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.95,264.81
Rajasthan,Arid Sandy,Rabi,3,Wheat,Watermelon,Soybean,3.37,254.69
Punjab,Alluvial,Kharif,3,Cotton,Peas,Watermelon,2.88,257.58
Punjab,Alluvial,Zaid,3,Watermelon,Soybean,Mustard,2.27,280.05
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.64,248.93
Tamil Nadu,Red,Rabi,3,Chickpea,Bottle Gourd,Rice,3.58,278.15
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Cucumber,2.5,264.95
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.06,190.59
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.57,182.26
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,3.04,286.37
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.5,184.7
Tamil Nadu,Red,Zaid,3,Watermelon,Maize,Mustard,2.61,213.93
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,2.9,194.01
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.45,201.57
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,3.24,215.94
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Okra,2.49,222.05
West Bengal,Laterite,Zaid,3,Bottle Gourd,Rice,Mustard,2.97,222.56
West Bengal,Laterite,Rabi,2,Peas,Watermelon,,2.85,222.24
Rajasthan,Arid Sandy,Rabi,3,Wheat,Bottle Gourd,Soybean,2.87,270.33
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Barley,2.88,202.09
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Okra,2.7,286.69
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.72,211.16
Maharashtra,Black,Zaid,3,Bottle Gourd,Rice,Mustard,3.35,213.53
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,2.08,248.19
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Cucumber,3.03,228.22
Punjab,Alluvial,Rabi,3,Barley,Watermelon,Soybean,2.82,242.27
Maharashtra,Black,Zaid,3,Watermelon,Groundnut,Mustard,2.83,270.65
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Maize,3.12,258.42
Punjab,Alluvial,Rabi,3,Wheat,Watermelon,Groundnut,3.83,268.88
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.24,180.65
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Soybean,3.45,258.84
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Maize,2.82,267.9
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.81,226.08
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.26,257.32
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Maize,Mustard,3.22,203.58
Punjab,Alluvial,Kharif,3,Cotton,Chickpea,Bottle Gourd,3,288.9
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Maize,3.14,244.47
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.36,205.98
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.07,165.37
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Rice,3.29,245.63
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Wheat,3.41,227.86
Maharashtra,Black,Zaid,3,Watermelon,Soybean,Mustard,2.54,263.87
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.68,276.14
Punjab,Alluvial,Rabi,3,Mustard,Cucumber,Cotton,2.82,208.38
Maharashtra,Black,Kharif,2,Soybean,Mustard,,2.04,228.68
West Bengal,Laterite,Rabi,2,Mustard,Okra,,2.46,178.09
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,1.95,226.41
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.65,200.43
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Cucumber,2.25,252.72
Punjab,Alluvial,Zaid,2,Bottle Gourd,Rice,,4.05,187.06
Punjab,Alluvial,Kharif,3,Rice,Mustard,Cucumber,2.97,226.46
Rajasthan,Arid Sandy,Rabi,3,Peas,Watermelon,Maize,3.45,246.65
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.23,221.13
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.47,253.78
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.01,269.89
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.55,253.19
Punjab,Alluvial,Kharif,3,Maize,Mustard,Cucumber,3.23,216.06
Rajasthan,Arid Sandy,Rabi,3,Wheat,Bottle Gourd,Groundnut,2.83,272.17
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.58,252.05
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.41,237.86
Maharashtra,Black,Rabi,2,Barley,Bottle Gourd,,2.74,182.49
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.62,161.98
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.92,257.85
Punjab,Alluvial,Kharif,2,Rice,Mustard,,3.2,195.19
Rajasthan,Arid Sandy,Kharif,3,Cotton,Chickpea,Watermelon,2.58,265.64
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,3.03,230.7
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.83,196
Tamil Nadu,Red,Kharif,2,Cotton,Barley,,2.36,184.97
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Rice,3.03,267.33
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,4.45,198.22
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.39,178.66
West Bengal,Laterite,Zaid,3,Watermelon,Rice,Mustard,3.09,226.11
West Bengal,Laterite,Rabi,2,Chickpea,Watermelon,,3.82,215.35
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Chickpea,2.68,252.16
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.39,183.8
Punjab,Alluvial,Zaid,2,Bottle Gourd,Groundnut,,3.67,226.56
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Wheat,3.15,222.91
Maharashtra,Black,Rabi,2,Mustard,Okra,,2.69,179.91
Punjab,Alluvial,Rabi,2,Chickpea,Bottle Gourd,,3.45,243.85
West Bengal,Laterite,Zaid,3,Bottle Gourd,Rice,Mustard,2.76,220.69
West Bengal,Laterite,Rabi,3,Wheat,Watermelon,Groundnut,3.27,261.59
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.44,275.58
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Wheat,3,228.07
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.36,180.4
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Cucumber,2.63,278.96
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.54,234.66
Punjab,Alluvial,Kharif,3,Cotton,Chickpea,Watermelon,2.49,252.33
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,3.17,179.78
West Bengal,Laterite,Rabi,3,Peas,Watermelon,Maize,3.56,246.81
Tamil Nadu,Red,Zaid,2,Watermelon,Soybean,,2.67,225.96
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.92,178.25
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.26,245.42
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,2.68,222.63
Maharashtra,Black,Zaid,3,Watermelon,Rice,Mustard,3.57,215.33
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.48,193.23
Maharashtra,Black,Zaid,2,Watermelon,Soybean,,3.74,210.53
Tamil Nadu,Red,Kharif,2,Soybean,Mustard,,1.85,239.43
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,2.7,231.57
Maharashtra,Black,Rabi,3,Barley,Watermelon,Soybean,2.67,276.1
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.14,202.46
West Bengal,Laterite,Kharif,2,Cotton,Chickpea,,2.21,230.25
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.04,250.74
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Maize,,3.21,165.7
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.86,280.69
Tamil Nadu,Red,Kharif,2,Cotton,Wheat,,2.44,185.54
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Groundnut,,3.05,244.67
Maharashtra,Black,Zaid,2,Watermelon,Soybean,,2.63,232.55
Punjab,Alluvial,Rabi,2,Peas,Bottle Gourd,,2.7,238.08
Rajasthan,Arid Sandy,Rabi,3,Peas,Watermelon,Maize,3.11,251.03
Punjab,Alluvial,Rabi,2,Chickpea,Watermelon,,3.03,247.13
Rajasthan,Arid Sandy,Zaid,2,Bottle Gourd,Soybean,,3.44,228.34
Rajasthan,Arid Sandy,Kharif,2,Cotton,Wheat,,2.4,200.84
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.62,181.41
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.35,189.84
Maharashtra,Black,Rabi,3,Barley,Watermelon,Soybean,3.02,242.96
Maharashtra,Black,Kharif,3,Maize,Mustard,Cucumber,2.87,208.76
Punjab,Alluvial,Zaid,2,Watermelon,Soybean,,3.56,232.73
Rajasthan,Arid Sandy,Rabi,2,Wheat,Watermelon,,3.94,202.51
West Bengal,Laterite,Rabi,2,Peas,Bottle Gourd,,2.75,224.18
West Bengal,Laterite,Zaid,2,Watermelon,Soybean,,3.75,212.3
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.62,181.39
Tamil Nadu,Red,Kharif,3,Cotton,Wheat,Watermelon,2.81,221.28
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,2.97,189.68
West Bengal,Laterite,Zaid,3,Bottle Gourd,Rice,Mustard,3.65,196.61
Punjab,Alluvial,Kharif,3,Rice,Mustard,Okra,2.72,228.67
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,3.73,177.56
Maharashtra,Black,Zaid,2,Watermelon,Groundnut,,3.62,215.02
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,2.76,252.41
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.61,254.78
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Okra,2.32,288.88
Tamil Nadu,Red,Rabi,2,Peas,Watermelon,,3.23,248.14
Punjab,Alluvial,Kharif,2,Rice,Mustard,,2.66,207.43
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Groundnut,Mustard,2.54,253.87
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.3,201.73
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,2.96,195.97
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,3,195.9
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Groundnut,2.98,262.76
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Cucumber,2.94,273.71
Punjab,Alluvial,Kharif,2,Rice,Mustard,,2.51,179.15
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.81,255.79
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,3.28,212.63
Maharashtra,Black,Zaid,2,Watermelon,Rice,,4.75,198.68
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,2.65,238.19
Tamil Nadu,Red,Zaid,2,Watermelon,Soybean,,3.24,248.63
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,3.05,160.48
Tamil Nadu,Red,Kharif,3,Cotton,Wheat,Bottle Gourd,2.92,192.99
Maharashtra,Black,Zaid,3,Bottle Gourd,Rice,Mustard,3.44,208.62
Rajasthan,Arid Sandy,Kharif,2,Soybean,Mustard,,1.61,225.75
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Peas,2.5,278.51
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.32,186.8
Maharashtra,Black,Rabi,3,Peas,Watermelon,Rice,3.35,275.24
West Bengal,Laterite,Kharif,2,Cotton,Barley,,1.92,177.79
West Bengal,Laterite,Kharif,3,Cotton,Barley,Bottle Gourd,3.14,217.51
Punjab,Alluvial,Rabi,2,Mustard,Okra,,2.48,209.13
Maharashtra,Black,Kharif,3,Cotton,Wheat,Watermelon,3.59,199.89
Rajasthan,Arid Sandy,Kharif,2,Cotton,Wheat,,2.25,168.4
West Bengal,Laterite,Rabi,3,Peas,Bottle Gourd,Maize,2.68,249.36
Tamil Nadu,Red,Rabi,2,Wheat,Bottle Gourd,,3.57,204.14
Rajasthan,Arid Sandy,Kharif,2,Cotton,Chickpea,,1.79,254.23
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.9,227.2
West Bengal,Laterite,Zaid,3,Watermelon,Soybean,Mustard,2.13,280.53
Tamil Nadu,Red,Kharif,3,Groundnut,Mustard,Okra,2.68,253.33
Punjab,Alluvial,Kharif,3,Cotton,Barley,Bottle Gourd,2.84,207.94
West Bengal,Laterite,Kharif,3,Groundnut,Mustard,Okra,2.88,267.11
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.12,186.32
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,3.31,202.21
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.58,203.03
Punjab,Alluvial,Rabi,3,Chickpea,Bottle Gourd,Maize,2.66,287.43
West Bengal,Laterite,Kharif,3,Cotton,Peas,Bottle Gourd,2.53,268.64
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.45,221.04
